City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Gat,IL,2021-02-06 03:49:17,31.61,34.7642,286.48,100,21,0.85
136,New Norfolk,AU,2021-02-06 03:45:25,-42.7826,147.0587,299.82,44,45,2.24
137,Mirnyy,RU,2021-02-06 03:49:17,62.5353,113.9611,243.2,86,88,1.12
138,Chumikan,RU,2021-02-06 03:49:17,54.7183,135.315,251.66,86,100,5.37
139,Panjab,AF,2021-02-06 03:49:17,34.388,67.0233,265.9,65,1,1.08
140,Burnie,AU,2021-02-06 03:49:17,-41.0667,145.9167,289.26,85,27,2.24
141,Ballina,AU,2021-02-06 03:47:28,-28.8667,153.5667,302.59,69,51,5.14
142,Ust-Nera,RU,2021-02-06 03:49:05,64.5667,143.2,249.6,81,100,1.55
143,Saint-Pierre,RE,2021-02-06 03:49:18,-21.3393,55.4781,302.15,61,0,1.54
144,Muros,ES,2021-02-06 03:45:33,42.7762,-9.0603,282.59,80,86,3.13
145,Pacific Grove,US,2021-02-06 03:49:18,36.6177,-121.9166,284.26,71,1,1.54
146,Hami,CN,2021-02-06 03:49:18,42.8,93.45,275.84,66,1,2.55
147,East London,ZA,2021-02-06 03:49:18,-33.0153,27.9116,295.15,94,90,2.57
148,Otoka,BA,2021-02-06 03:49:18,44.96,16.1792,281.28,86,100,1.46
149,Gorin,RU,2021-02-06 03:49:18,51.1983,136.6669,252.13,87,100,2.0
150,Goiatuba,BR,2021-02-06 03:49:18,-18.0125,-49.3547,293.84,95,94,2.19
151,Marfino,RU,2021-02-06 03:49:18,55.7028,37.3822,259.26,72,75,6.0
152,Fairbanks,US,2021-02-06 03:44:46,64.8378,-147.7164,251.15,77,90,1.49
153,Arman,RU,2021-02-06 03:49:18,59.7,150.1667,255.82,84,91,4.07
154,Vanimo,PG,2021-02-06 03:45:12,-2.6741,141.3028,302.26,66,81,1.99
155,Geraldton,AU,2021-02-06 03:45:31,-28.7667,114.6,295.15,68,90,12.86
156,Port Elizabeth,ZA,2021-02-06 03:46:04,-33.918,25.5701,294.15,94,75,2.57
157,Porbandar,IN,2021-02-06 03:47:32,21.6422,69.6093,294.15,26,0,5.14
158,Ulaangom,MN,2021-02-06 03:49:19,49.9811,92.0667,255.23,87,100,0.8
159,Dauriya,RU,2021-02-06 03:49:19,49.9333,116.8667,253.72,89,19,2.64
160,Bayan,CN,2021-02-06 03:49:19,46.0833,127.4,258.25,89,100,2.97
161,West Bay,KY,2021-02-06 03:45:07,19.3667,-81.4167,299.82,89,75,3.6
162,Faanui,PF,2021-02-06 03:45:43,-16.4833,-151.75,300.47,65,2,1.97
163,Luderitz,NA,2021-02-06 03:45:51,-26.6481,15.1594,293.17,55,0,8.95
164,Aripuana,BR,2021-02-06 03:49:19,-9.1667,-60.6333,296.55,97,100,0.89
165,Sibolga,ID,2021-02-06 03:46:50,1.7427,98.7792,304.34,53,0,1.29
166,Marzuq,YE,2021-02-06 03:49:19,14.4,46.4667,288.01,27,0,2.04
167,Mayumba,GA,2021-02-06 03:49:20,-3.432,10.6554,298.71,84,100,1.44
168,Grindavik,IS,2021-02-06 03:49:20,63.8424,-22.4338,275.15,75,0,9.26
169,Malanje,AO,2021-02-06 03:49:20,-9.5402,16.341,290.43,94,100,1.37
170,Upernavik,GL,2021-02-06 03:49:20,72.7868,-56.1549,260.25,72,100,2.36
171,Ola,RU,2021-02-06 03:44:22,59.5833,151.2833,257.55,87,97,8.46
172,Warangal,IN,2021-02-06 03:49:20,18.0,79.5833,296.71,56,0,3.92
173,Tsogni,GA,2021-02-06 03:49:20,-2.7942,10.0988,298.61,88,100,1.96
174,Nohfelden,DE,2021-02-06 03:45:04,49.5869,7.1428,279.82,97,100,0.89
175,Cabo San Lucas,MX,2021-02-06 03:49:20,22.8909,-109.9124,293.15,60,1,1.54
176,Haapiti,PF,2021-02-06 03:49:20,-17.5667,-149.8667,302.15,65,75,4.63
177,Tautira,PF,2021-02-06 03:49:20,-17.7333,-149.15,302.15,65,75,4.63
178,Fortuna,US,2021-02-06 03:49:21,40.5982,-124.1573,283.15,93,90,2.57
179,Ganserndorf,AT,2021-02-06 03:49:21,48.3392,16.7202,277.59,94,100,1.31
180,Pacifica,US,2021-02-06 03:47:52,37.6138,-122.4869,285.93,93,90,2.57
181,Shimoda,JP,2021-02-06 03:46:06,34.6667,138.95,289.15,39,20,6.69
182,Eyl,SO,2021-02-06 03:49:21,7.9803,49.8164,294.87,77,50,5.58
183,Saint-Leger,BE,2021-02-06 03:49:21,49.612,5.6569,280.37,98,100,0.45
184,Airai,TL,2021-02-06 03:45:34,-8.9266,125.4092,294.53,83,100,3.14
185,Belmonte,BR,2021-02-06 03:46:12,-15.8631,-38.8828,299.15,83,40,3.09
186,Baykalovo,RU,2021-02-06 03:49:21,57.3981,63.7684,275.02,96,100,6.73
187,Lujan,AR,2021-02-06 03:49:21,-34.5703,-59.105,292.59,96,0,2.8
188,Kahului,US,2021-02-06 03:46:01,20.8947,-156.47,296.15,56,40,3.09
189,San Quintin,MX,2021-02-06 03:46:51,30.4833,-115.95,287.33,80,0,4.38
190,Yeppoon,AU,2021-02-06 03:49:22,-23.1333,150.7333,307.15,36,40,2.57
191,Tagusao,PH,2021-02-06 03:45:53,9.1924,117.8141,302.26,68,100,2.65
192,Bethel,US,2021-02-06 03:48:52,41.3712,-73.414,274.26,80,1,2.06
193,Desaguadero,PE,2021-02-06 03:49:22,-16.5656,-69.0417,281.59,80,93,4.86
194,Anadyr,RU,2021-02-06 03:49:22,64.75,177.4833,257.15,85,40,5.0
195,Price,US,2021-02-06 03:49:22,39.5994,-110.8107,274.15,55,90,8.75
196,Hamilton,US,2021-02-06 03:46:32,39.1834,-84.5333,275.15,55,75,6.17
197,Hasaki,JP,2021-02-06 03:49:22,35.7333,140.8333,289.26,41,20,2.06
198,Tual,ID,2021-02-06 03:49:22,-5.6667,132.75,301.97,77,100,8.41
199,Falam,MM,2021-02-06 03:49:23,22.9167,93.6833,293.66,30,0,1.05
200,Sola,VU,2021-02-06 03:49:23,-13.8833,167.55,300.92,76,74,4.22
201,Tiksi,RU,2021-02-06 03:49:06,71.6872,128.8694,245.45,88,100,2.56
202,Birin,NP,2021-02-06 03:49:23,26.8865,88.0718,286.5,58,76,0.59
203,Riachao Das Neves,BR,2021-02-06 03:49:23,-11.7461,-44.91,294.69,92,99,0.57
204,Ostrovnoy,RU,2021-02-06 03:49:23,68.0531,39.5131,264.98,96,100,2.17
205,Nome,US,2021-02-06 03:46:01,64.5011,-165.4064,265.15,93,90,9.77
206,Waitati,NZ,2021-02-06 03:49:23,-45.75,170.5667,288.71,74,23,11.18
207,Sumbe,AO,2021-02-06 03:49:23,-11.2061,13.8437,297.21,83,100,1.84
208,Tanabe,JP,2021-02-06 03:49:23,33.7333,135.3667,286.15,50,75,2.06
209,Cherskiy,RU,2021-02-06 03:49:24,68.75,161.3,249.76,79,65,1.45
210,Avera,US,2021-02-06 03:49:24,33.194,-82.5271,282.15,57,90,1.54
211,Gigmoto,PH,2021-02-06 03:49:24,13.7796,124.39,301.99,70,58,3.51
212,Maragogi,BR,2021-02-06 03:46:19,-9.0122,-35.2225,297.91,86,7,3.21
213,Puerto Ayora,EC,2021-02-06 03:44:50,-0.7393,-90.3518,297.04,98,27,0.89
214,Kargasok,RU,2021-02-06 03:49:24,59.0556,80.8572,262.89,96,100,4.21
215,Te Anau,NZ,2021-02-06 03:49:24,-45.4167,167.7167,298.33,34,3,0.65
216,Xining,CN,2021-02-06 03:49:24,36.6167,101.7667,273.15,53,100,0.64
217,Hun,LY,2021-02-06 03:49:24,29.1268,15.9477,287.55,36,71,2.72
218,Dariba,IN,2021-02-06 03:49:24,24.95,74.1333,287.15,54,0,3.09
219,Erzin,TR,2021-02-06 03:47:16,36.9559,36.2,283.71,71,0,4.47
220,Bluff,NZ,2021-02-06 03:45:25,-46.6,168.3333,288.96,73,8,4.44
221,Puerto Escondido,MX,2021-02-06 03:49:25,15.85,-97.0667,300.15,78,75,3.09
222,Mombetsu,JP,2021-02-06 03:49:25,44.3525,143.3525,270.15,93,75,1.54
223,Ozinki,RU,2021-02-06 03:49:25,51.1786,49.6769,264.81,96,100,10.24
